Country Name,Country Code,Time,Time Code,Gross value added at basic prices (GVA) (current LCU) [NY.GDP.FCST.CN],"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]",Imports of goods and services (constant LCU) [NE.IMP.GNFS.KN],Exports of goods and services (constant LCU) [NE.EXP.GNFS.KN],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
United States,USA,1974,YR1974,1.42E+12,1,0.229090182,0.333928062,3.03E+11,2.70E+11,11.0548048
United States,USA,1975,YR1975,1.55E+12,1,0.137099799,0.814883222,2.70E+11,2.68E+11,9.143146865
United States,USA,1976,YR1976,1.73E+12,1,0.155331555,0.604245089,3.22E+11,2.80E+11,5.744812635
United States,USA,1977,YR1977,1.93E+12,1,0.140261482,0.541832026,3.58E+11,2.86E+11,6.501683995
United States,USA,1978,YR1978,2.19E+12,1,0.233883413,0.611073572,3.89E+11,3.17E+11,7.630963839
United States,USA,1979,YR1979,2.46E+12,1,0.306394355,0.940878069,3.95E+11,3.48E+11,11.25447113
United States,USA,1980,YR1980,2.67E+12,1,0.585866342,0.666361718,3.69E+11,3.85E+11,13.54920197
United States,USA,1981,YR1981,2.98E+12,1,0.800738126,0.315243865,3.79E+11,3.90E+11,10.33471534
United States,USA,1982,YR1982,3.12E+12,1,0.634908483,0.232490746,3.74E+11,3.60E+11,6.131427
United States,USA,1983,YR1983,3.39E+12,1,0.316452387,0.241329342,4.21E+11,3.51E+11,3.212435233
United States,USA,1984,YR1984,3.77E+12,1,0.624874152,0.317514333,5.23E+11,3.79E+11,4.300535475
United States,USA,1985,YR1985,4.05E+12,1,0.221941613,0.084812579,5.57E+11,3.92E+11,3.545644152
United States,USA,1986,YR1986,4.28E+12,1,0.675731298,0.426322557,6.05E+11,4.22E+11,1.898047722
United States,USA,1987,YR1987,4.54E+12,1,1.302414002,0.819675339,6.41E+11,4.68E+11,3.664563218
United States,USA,1988,YR1988,4.89E+12,1,1.086807482,0.414422934,6.66E+11,5.44E+11,4.077741107
United States,USA,1989,YR1989,5.27E+12,1,1.343240723,0.90364756,6.95E+11,6.07E+11,4.82700303
United States,USA,1990,YR1990,5.57E+12,1,1.194504107,1.005174452,7.20E+11,6.61E+11,5.39795644
United States,USA,1991,YR1991,5.73E+12,1,0.561047032,0.800080674,7.19E+11,7.05E+11,4.234963965
